Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Energy (kcal),kcal,208.6,208.6,27415140
Protein (g),g,16.53,16.53,27415150
Carbohydrate (g),g,2.41,2.41,27415150
Total Fat (g),g,8.62,8.62,27415150
"Fiber, total dietary (g)",g,0.24,0.24,27415150
Energy (kcal),kcal,153.3,153.3,27415150
Protein (g),g,19.52,19.52,27415170
Carbohydrate (g),g,1.66,1.66,27415170
Total Fat (g),g,9.36,9.36,27415170
"Fiber, total dietary (g)",g,0.25,0.25,27415170
Energy (kcal),kcal,169.0,169.0,27415170
Protein (g),g,14.87,14.87,27415200
Carbohydrate (g),g,1.64,1.64,27415200
Total Fat (g),g,10.9,10.9,27415200
"Fiber, total dietary (g)",g,0.21,0.21,27415200
Energy (kcal),kcal,164.1,164.1,27415200
Protein (g),g,20.54,20.54,27415220
Carbohydrate (g),g,1.55,1.55,27415220
Total Fat (g),g,10.49,10.49,27415220
"Fiber, total dietary (g)",g,0.17,0.17,27415220
Energy (kcal),kcal,182.8,182.8,27415220
Protein (g),g,16.56,16.56,27416100
Carbohydrate (g),g,1.89,1.89,27416100
Total Fat (g),g,13.47,13.47,27416100
"Fiber, total dietary (g)",g,0.17,0.17,27416100
Energy (kcal),kcal,195.0,195.0,27416100
Protein (g),g,18.4,18.4,27416150
Carbohydrate (g),g,1.87,1.87,27416150
Total Fat (g),g,15.43,15.43,27416150
"Fiber, total dietary (g)",g,0.25,0.25,27416150
Energy (kcal),kcal,219.9,219.9,27416150
Protein (g),g,23.6,23.6,27416200
Carbohydrate (g),g,1.69,1.69,27416200
Total Fat (g),g,8.89,8.89,27416200
"Fiber, total dietary (g)",g,0.18,0.18,27416200
Energy (kcal),kcal,181.2,181.2,27416200
Protein (g),g,17.2,17.2,27416250
Carbohydrate (g),g,2.01,2.01,27416250
Total Fat (g),g,14.0,14.0,27416250
"Fiber, total dietary (g)",g,0.24,0.24,27416250
Energy (kcal),kcal,202.8,202.8,27416250
Protein (g),g,24.14,24.14,27416300
Carbohydrate (g),g,1.83,1.83,27416300
Total Fat (g),g,13.35,13.35,27416300
"Fiber, total dietary (g)",g,0.18,0.18,27416300
Energy (kcal),kcal,224.0,224.0,27416300
Protein (g),g,14.73,14.73,27416400
Carbohydrate (g),g,2.24,2.24,27416400
Total Fat (g),g,8.47,8.47,27416400
"Fiber, total dietary (g)",g,0.19,0.19,27416400
Energy (kcal),kcal,144.1,144.1,27416400
Protein (g),g,17.95,17.95,27416450
Carbohydrate (g),g,2.23,2.23,27416450
Total Fat (g),g,13.92,13.92,27416450
"Fiber, total dietary (g)",g,0.18,0.18,27416450
Energy (kcal),kcal,206.0,206.0,27416450
Protein (g),g,23.74,23.74,27416500
Carbohydrate (g),g,1.75,1.75,27416500
Total Fat (g),g,11.61,11.61,27416500
"Fiber, total dietary (g)",g,0.23,0.23,27416500
Energy (kcal),kcal,206.4,206.4,27416500
Protein (g),g,22.32,22.32,27418410
Carbohydrate (g),g,2.58,2.58,27418410
Total Fat (g),g,10.02,10.02,27418410
"Fiber, total dietary (g)",g,0.22,0.22,27418410
Energy (kcal),kcal,189.8,189.8,27418410
Protein (g),g,21.32,21.32,27420010
Carbohydrate (g),g,2.5,2.5,27420010
Total Fat (g),g,9.53,9.53,27420010
"Fiber, total dietary (g)",g,0.23,0.23,27420010
Energy (kcal),kcal,181.1,181.1,27420010
Protein (g),g,20.82,20.82,27420020
Carbohydrate (g),g,1.73,1.73,27420020
Total Fat (g),g,11.82,11.82,27420020
"Fiber, total dietary (g)",g,0.18,0.18,27420020
Energy (kcal),kcal,196.6,196.6,27420020
Protein (g),g,20.95,20.95,27420040
Carbohydrate (g),g,2.47,2.47,27420040
Total Fat (g),g,12.5,12.5,27420040
"Fiber, total dietary (g)",g,0.22,0.22,27420040
Energy (kcal),kcal,206.2,206.2,27420040
Protein (g),g,20.22,20.22,27420060
Carbohydrate (g),g,1.46,1.46,27420060
Total Fat (g),g,10.08,10.08,27420060
"Fiber, total dietary (g)",g,0.2,0.2,27420060
Energy (kcal),kcal,177.4,177.4,27420060
Protein (g),g,17.72,17.72,27420080
Carbohydrate (g),g,1.62,1.62,27420080
Total Fat (g),g,12.03,12.03,27420080
"Fiber, total dietary (g)",g,0.18,0.18,27420080
Energy (kcal),kcal,185.6,185.6,27420080
Protein (g),g,17.1,17.1,27420100
Carbohydrate (g),g,1.96,1.96,27420100
Total Fat (g),g,9.36,9.36,27420100
"Fiber, total dietary (g)",g,0.25,0.25,27420100
Energy (kcal),kcal,160.5,160.5,27420100
Protein (g),g,24.41,24.41,27420110
Carbohydrate (g),g,2.25,2.25,27420110
Total Fat (g),g,9.16,9.16,27420110
"Fiber, total dietary (g)",g,0.23,0.23,27420110
Energy (kcal),kcal,189.1,189.1,27420110
Protein (g),g,23.7,23.7,27420120
Carbohydrate (g),g,2.32,2.32,27420120
Total Fat (g),g,9.22,9.22,27420120
"Fiber, total dietary (g)",g,0.22,0.22,27420120
Energy (kcal),kcal,187.1,187.1,27420120
Protein (g),g,24.01,24.01,27420150
Carbohydrate (g),g,2.09,2.09,27420150
Total Fat (g),g,13.05,13.05,27420150
"Fiber, total dietary (g)",g,0.2,0.2,27420150
Energy (kcal),kcal,221.9,221.9,27420150
Protein (g),g,20.34,20.34,27420160
Carbohydrate (g),g,1.44,1.44,27420160
Total Fat (g),g,13.0,13.0,27420160
"Fiber, total dietary (g)",g,0.15,0.15,27420160
Energy (kcal),kcal,204.1,204.1,27420160
Protein (g),g,19.22,19.22,27420170
Carbohydrate (g),g,1.75,1.75,27420170
Total Fat (g),g,12.33,12.33,27420170
"Fiber, total dietary (g)",g,0.16,0.16,27420170
Energy (kcal),kcal,194.8,194.8,27420170
Protein (g),g,22.3,22.3,27420200
Carbohydrate (g),g,2.35,2.35,27420200
Total Fat (g),g,9.58,9.58,27420200
"Fiber, total dietary (g)",g,0.15,0.15,27420200
Energy (kcal),kcal,184.8,184.8,27420200
Protein (g),g,15.75,15.75,27420250
Carbohydrate (g),g,2.45,2.45,27420250
Total Fat (g),g,12.2,12.2,27420250
"Fiber, total dietary (g)",g,0.2,0.2,27420250
Energy (kcal),kcal,182.6,182.6,27420250
Protein (g),g,15.28,15.28,27420270
Carbohydrate (g),g,2.18,2.18,27420270
Total Fat (g),g,14.65,14.65,27420270
"Fiber, total dietary (g)",g,0.24,0.24,27420270
Energy (kcal),kcal,201.7,201.7,27420270
Protein (g),g,21.51,21.51,27420350
Carbohydrate (g),g,1.49,1.49,27420350
Total Fat (g),g,9.21,9.21,27420350
"Fiber, total dietary (g)",g,0.15,0.15,27420350
Energy (kcal),kcal,174.9,174.9,27420350
Protein (g),g,17.09,17.09,27420370
Carbohydrate (g),g,1.56,1.56,27420370
Total Fat (g),g,10.27,10.27,27420370
"Fiber, total dietary (g)",g,0.19,0.19,27420370
Energy (kcal),kcal,167.0,167.0,27420370
Protein (g),g,25.32,25.32,27420390
Carbohydrate (g),g,2.13,2.13,27420390
Total Fat (g),g,14.41,14.41,27420390
"Fiber, total dietary (g)",g,0.23,0.23,27420390
Energy (kcal),kcal,239.5,239.5,27420390
Protein (g),g,15.35,15.35,27420400
Carbohydrate (g),g,2.28,2.28,27420400
Total Fat (g),g,10.38,10.38,27420400
"Fiber, total dietary (g)",g,0.22,0.22,27420400
Energy (kcal),kcal,163.9,163.9,27420400
Protein (g),g,18.09,18.09,27420410
Carbohydrate (g),g,2.6,2.6,27420410
Total Fat (g),g,10.3,10.3,27420410
"Fiber, total dietary (g)",g,0.17,0.17,27420410
Energy (kcal),kcal,175.5,175.5,27420410
Protein (g),g,25.17,25.17,27420450
Carbohydrate (g),g,1.43,1.43,27420450
Total Fat (g),g,13.42,13.42,27420450
"Fiber, total dietary (g)",g,0.23,0.23,27420450
Energy (kcal),kcal,227.2,227.2,27420450
Protein (g),g,24.04,24.04,27420460
Carbohydrate (g),g,2.57,2.57,27420460
Total Fat (g),g,15.42,15.42,27420460
"Fiber, total dietary (g)",g,0.15,0.15,27420460
Energy (kcal),kcal,245.2,245.2,27420460
Protein (g),g,23.86,23.86,27420470
Carbohydrate (g),g,2.18,2.18,27420470
Total Fat (g),g,13.06,13.06,27420470
"Fiber, total dietary (g)",g,0.16,0.16,27420470
Energy (kcal),kcal,221.7,221.7,27420470
Protein (g),g,21.8,21.8,27420500
Carbohydrate (g),g,2.58,2.58,27420500
Total Fat (g),g,14.97,14.97,27420500
"Fiber, total dietary (g)",g,0.19,0.19,27420500
Energy (kcal),kcal,232.3,232.3,27420500
Protein (g),g,14.48,14.48,27420510
Carbohydrate (g),g,1.83,1.83,27420510
Total Fat (g),g,14.35,14.35,27420510
"Fiber, total dietary (g)",g,0.22,0.22,27420510
Energy (kcal),kcal,194.4,194.4,27420510
Protein (g),g,19.51,19.51,27420520
Carbohydrate (g),g,1.47,1.47,27420520
Total Fat (g),g,11.47,11.47,27420520
"Fiber, total dietary (g)",g,0.2,0.2,27420520
Energy (kcal),kcal,187.2,187.2,27420520
Protein (g),g,25.14,25.14,27430610
Carbohydrate (g),g,2.17,2.17,27430610
Total Fat (g),g,10.64,10.64,27430610
"Fiber, total dietary (g)",g,0.2,0.2,27430610
Energy (kcal),kcal,205.0,205.0,27430610
Protein (g),g,14.79,14.79,27440110
Carbohydrate (g),g,2.57,2.57,27440110
Total Fat (g),g,10.99,10.99,27440110
"Fiber, total dietary (g)",g,0.2,0.2,27440110
Energy (kcal),kcal,168.3,168.3,27440110
Protein (g),g,18.26,18.26,27440120
Carbohydrate (g),g,2.22,2.22,27440120
Total Fat (g),g,13.17,13.17,27440120
"Fiber, total dietary (g)",g,0.23,0.23,27440120
Energy (kcal),kcal,200.4,200.4,27440120
Protein (g),g,17.22,17.22,27440130
Carbohydrate (g),g,1.78,1.78,27440130
Total Fat (g),g,9.3,9.3,27440130
"Fiber, total dietary (g)",g,0.22,0.22,27440130
Energy (kcal),kcal,159.7,159.7,27440130
Protein (g),g,14.48,14.48,27441120
Carbohydrate (g),g,2.12,2.12,27441120
Total Fat (g),g,14.66,14.66,27441120
"Fiber, total dietary (g)",g,0.25,0.25,27441120
Energy (kcal),kcal,198.3,198.3,27441120
Protein (g),g,19.39,19.39,27442110
Carbohydrate (g),g,1.95,1.95,27442110
Total Fat (g),g,8.95,8.95,27442110
"Fiber, total dietary (g)",g,0.22,0.22,27442110
Energy (kcal),kcal,165.9,165.9,27442110
Protein (g),g,23.86,23.86,27442120
Carbohydrate (g),g,1.69,1.69,27442120
Total Fat (g),g,11.43,11.43,27442120
"Fiber, total dietary (g)",g,0.24,0.24,27442120
Energy (kcal),kcal,205.1,205.1,27442120
Protein (g),g,24.53,24.53,27443110
Carbohydrate (g),g,1.69,1.69,27443110
Total Fat (g),g,12.36,12.36,27443110
"Fiber, total dietary (g)",g,0.16,0.16,27443110
Energy (kcal),kcal,216.1,216.1,27443110
Protein (g),g,15.22,15.22,27443120
Carbohydrate (g),g,2.49,2.49,27443120
Total Fat (g),g,14.31,14.31,27443120
"Fiber, total dietary (g)",g,0.23,0.23,27443120
Energy (kcal),kcal,199.6,199.6,27443120
Protein (g),g,14.59,14.59,27443150
Carbohydrate (g),g,2.41,2.41,27443150
Total Fat (g),g,11.55,11.55,27443150
"Fiber, total dietary (g)",g,0.18,0.18,27443150
Energy (kcal),kcal,171.9,171.9,27443150
Protein (g),g,20.56,20.56,27445110
Carbohydrate (g),g,1.51,1.51,27445110
Total Fat (g),g,13.85,13.85,27445110
"Fiber, total dietary (g)",g,0.21,0.21,27445110
Energy (kcal),kcal,212.9,212.9,27445110
Protein (g),g,16.24,16.24,27445120
Carbohydrate (g),g,1.63,1.63,27445120
Total Fat (g),g,9.73,9.73,27445120
"Fiber, total dietary (g)",g,0.15,0.15,27445120
Energy (kcal),kcal,159.1,159.1,27445120
Protein (g),g,21.05,21.05,27445125
Carbohydrate (g),g,2.41,2.41,27445125
Total Fat (g),g,8.53,8.53,27445125
"Fiber, total dietary (g)",g,0.15,0.15,27445125
Energy (kcal),kcal,170.6,170.6,27445125
Protein (g),g,20.87,20.87,27445130
Carbohydrate (g),g,2.38,2.38,27445130
Total Fat (g),g,10.75,10.75,27445130
"Fiber, total dietary (g)",g,0.18,0.18,27445130
Energy (kcal),kcal,189.8,189.8,27445130
Protein (g),g,21.16,21.16,27445150
Carbohydrate (g),g,1.73,1.73,27445150
Total Fat (g),g,8.59,8.59,27445150
"Fiber, total dietary (g)",g,0.23,0.23,27445150
Energy (kcal),kcal,168.9,168.9,27445150
Protein (g),g,21.51,21.51,27445180
Carbohydrate (g),g,2.1,2.1,27445180
Total Fat (g),g,13.74,13.74,27445180
"Fiber, total dietary (g)",g,0.22,0.22,27445180
Energy (kcal),kcal,218.1,218.1,27445180
Protein (g),g,16.47,16.47,27445220
Carbohydrate (g),g,1.82,1.82,27445220
Total Fat (g),g,9.31,9.31,27445220
"Fiber, total dietary (g)",g,0.16,0.16,27445220
Energy (kcal),kcal,156.9,156.9,27445220
Protein (g),g,22.11,22.11,27445250
Carbohydrate (g),g,2.43,2.43,27445250
Total Fat (g),g,15.33,15.33,27445250
"Fiber, total dietary (g)",g,0.22,0.22,27445250
Energy (kcal),kcal,236.1,236.1,27445250
Protein (g),g,16.21,16.21,27446100
Carbohydrate (g),g,1.53,1.53,27446100
Total Fat (g),g,14.25,14.25,27446100
"Fiber, total dietary (g)",g,0.21,0.21,27446100
Energy (kcal),kcal,199.2,199.2,27446100
Protein (g),g,21.42,21.42,27446200
Carbohydrate (g),g,2.34,2.34,27446200
Total Fat (g),g,13.46,13.46,27446200
"Fiber, total dietary (g)",g,0.24,0.24,27446200
Energy (kcal),kcal,216.2,216.2,27446200
Protein (g),g,14.67,14.67,27446205
Carbohydrate (g),g,2.3,2.3,27446205
Total Fat (g),g,14.53,14.53,27446205
"Fiber, total dietary (g)",g,0.17,0.17,27446205
Energy (kcal),kcal,198.6,198.6,27446205
Protein (g),g,21.69,21.69,27446220
Carbohydrate (g),g,1.78,1.78,27446220
Total Fat (g),g,15.3,15.3,27446220
"Fiber, total dietary (g)",g,0.14,0.14,27446220
Energy (kcal),kcal,231.6,231.6,27446220
Protein (g),g,20.96,20.96,27446225
Carbohydrate (g),g,1.6,1.6,27446225
Total Fat (g),g,13.53,13.53,27446225
"Fiber, total dietary (g)",g,0.16,0.16,27446225
Energy (kcal),kcal,212.0,212.0,27446225
Protein (g),g,16.82,16.82,27446230
Carbohydrate (g),g,1.99,1.99,27446230
Total Fat (g),g,14.99,14.99,27446230
"Fiber, total dietary (g)",g,0.17,0.17,27446230
Energy (kcal),kcal,210.1,210.1,27446230
Protein (g),g,15.73,15.73,27446235
Carbohydrate (g),g,2.31,2.31,27446235
Total Fat (g),g,12.0,12.0,27446235
"Fiber, total dietary (g)",g,0.25,0.25,27446235
Energy (kcal),kcal,180.2,180.2,27446235
Protein (g),g,15.76,15.76,27446240
Carbohydrate (g),g,2.18,2.18,27446240
Total Fat (g),g,10.08,10.08,27446240
"Fiber, total dietary (g)",g,0.16,0.16,27446240
Energy (kcal),kcal,162.5,162.5,27446240
Protein (g),g,22.2,22.2,27446245
Carbohydrate (g),g,2.11,2.11,27446245
Total Fat (g),g,13.83,13.83,27446245
"Fiber, total dietary (g)",g,0.18,0.18,27446245
Energy (kcal),kcal,221.7,221.7,27446245
Protein (g),g,19.38,19.38,27446250
Carbohydrate (g),g,1.89,1.89,27446250
Total Fat (g),g,15.49,15.49,27446250
"Fiber, total dietary (g)",g,0.18,0.18,27446250
Energy (kcal),kcal,224.5,224.5,27446250
Protein (g),g,17.54,17.54,27446255
Carbohydrate (g),g,1.83,1.83,27446255
Total Fat (g),g,12.47,12.47,27446255
"Fiber, total dietary (g)",g,0.17,0.17,27446255
Energy (kcal),kcal,189.7,189.7,27446255
Protein (g),g,24.98,24.98,27446260
Carbohydrate (g),g,1.72,1.72,27446260
Total Fat (g),g,14.85,14.85,27446260
"Fiber, total dietary (g)",g,0.15,0.15,27446260
Energy (kcal),kcal,240.4,240.4,27446260
Protein (g),g,21.88,21.88,27446300
Carbohydrate (g),g,2.49,2.49,27446300
Total Fat (g),g,9.61,9.61,27446300
"Fiber, total dietary (g)",g,0.26,0.26,27446300
Energy (kcal),kcal,184.0,184.0,27446300
Protein (g),g,19.43,19.43,27446310
Carbohydrate (g),g,2.53,2.53,27446310
Total Fat (g),g,13.27,13.27,27446310
"Fiber, total dietary (g)",g,0.18,0.18,27446310
Energy (kcal),kcal,207.3,207.3,27446310
Protein (g),g,16.26,16.26,27446315
Carbohydrate (g),g,1.76,1.76,27446315
Total Fat (g),g,9.07,9.07,27446315
"Fiber, total dietary (g)",g,0.16,0.16,27446315
Energy (kcal),kcal,153.7,153.7,27446315
Protein (g),g,15.26,15.26,27446320
Carbohydrate (g),g,1.91,1.91,27446320
Total Fat (g),g,14.13,14.13,27446320
"Fiber, total dietary (g)",g,0.16,0.16,27446320
Energy (kcal),kcal,195.8,195.8,27446320
Protein (g),g,15.56,15.56,27446330
Carbohydrate (g),g,2.17,2.17,27446330
Total Fat (g),g,9.82,9.82,27446330
"Fiber, total dietary (g)",g,0.15,0.15,27446330
Energy (kcal),kcal,159.3,159.3,27446330
Protein (g),g,16.0,16.0,27446332
Carbohydrate (g),g,2.51,2.51,27446332
Total Fat (g),g,14.31,14.31,27446332
"Fiber, total dietary (g)",g,0.18,0.18,27446332
Energy (kcal),kcal,202.8,202.8,27446332
Protein (g),g,21.87,21.87,27446350
Carbohydrate (g),g,2.04,2.04,27446350
Total Fat (g),g,13.28,13.28,27446350
"Fiber, total dietary (g)",g,0.22,0.22,27446350
Energy (kcal),kcal,215.2,215.2,27446350
Protein (g),g,21.54,21.54,27446355
Carbohydrate (g),g,1.72,1.72,27446355
Total Fat (g),g,8.68,8.68,27446355
"Fiber, total dietary (g)",g,0.19,0.19,27446355
Energy (kcal),kcal,171.2,171.2,27446355
Protein (g),g,24.69,24.69,27446360
Carbohydrate (g),g,2.08,2.08,27446360
Total Fat (g),g,14.39,14.39,27446360
"Fiber, total dietary (g)",g,0.26,0.26,27446360
Energy (kcal),kcal,236.6,236.6,27446360
Protein (g),g,15.96,15.96,27446362
Carbohydrate (g),g,2.23,2.23,27446362
Total Fat (g),g,13.25,13.25,27446362
"Fiber, total dietary (g)",g,0.26,0.26,27446362
Energy (kcal),kcal,192.0,192.0,27446362
Protein (g),g,25.83,25.83,27446400
Carbohydrate (g),g,2.22,2.22,27446400
Total Fat (g),g,10.15,10.15,27446400
"Fiber, total dietary (g)",g,0.24,0.24,27446400
Energy (kcal),kcal,203.6,203.6,27446400
Protein (g),g,15.28,15.28,27446410
Carbohydrate (g),g,2.34,2.34,27446410
Total Fat (g),g,14.95,14.95,27446410
"Fiber, total dietary (g)",g,0.19,0.19,27446410
Energy (kcal),kcal,205.0,205.0,27446410
Protein (g),g,21.57,21.57,27448020
Carbohydrate (g),g,1.92,1.92,27448020
Total Fat (g),g,11.55,11.55,27448020
"Fiber, total dietary (g)",g,0.18,0.18,27448020
Energy (kcal),kcal,197.9,197.9,27448020
Protein (g),g,23.15,23.15,27448030
Carbohydrate (g),g,2.52,2.52,27448030
Total Fat (g),g,15.17,15.17,27448030
"Fiber, total dietary (g)",g,0.16,0.16,27448030
Energy (kcal),kcal,239.2,239.2,27448030
Protein (g),g,24.5,24.5,27450010
Carbohydrate (g),g,2.28,2.28,27450010
Total Fat (g),g,10.22,10.22,27450010
"Fiber, total dietary (g)",g,0.15,0.15,27450010
Energy (kcal),kcal,199.1,199.1,27450010
Protein (g),g,17.22,17.22,27450020
Carbohydrate (g),g,2.49,2.49,27450020
Total Fat (g),g,12.96,12.96,27450020
"Fiber, total dietary (g)",g,0.23,0.23,27450020
Energy (kcal),kcal,195.5,195.5,27450020
Protein (g),g,17.09,17.09,27450030
Carbohydrate (g),g,2.26,2.26,27450030
Total Fat (g),g,8.6,8.6,27450030
"Fiber, total dietary (g)",g,0.19,0.19,27450030
Energy (kcal),kcal,154.8,154.8,27450030
Protein (g),g,21.52,21.52,27450040
Carbohydrate (g),g,1.58,1.58,27450040
Total Fat (g),g,14.33,14.33,27450040
"Fiber, total dietary (g)",g,0.17,0.17,27450040
Energy (kcal),kcal,221.4,221.4,27450040
Protein (g),g,21.83,21.83,27450060
Carbohydrate (g),g,1.89,1.89,27450060
Total Fat (g),g,12.69,12.69,27450060
"Fiber, total dietary (g)",g,0.15,0.15,27450060
Energy (kcal),kcal,209.1,209.1,27450060
Protein (g),g,14.2,14.2,27450061
Carbohydrate (g),g,2.49,2.49,27450061
Total Fat (g),g,10.34,10.34,27450061
"Fiber, total dietary (g)",g,0.24,0.24,27450061
Energy (kcal),kcal,159.8,159.8,27450061
Protein (g),g,25.99,25.99,27450062
Carbohydrate (g),g,1.65,1.65,27450062
Total Fat (g),g,10.31,10.31,27450062
"Fiber, total dietary (g)",g,0.22,0.22,27450062
Energy (kcal),kcal,203.3,203.3,27450062
Protein (g),g,25.59,25.59,27450063
Carbohydrate (g),g,2.5,2.5,27450063
Total Fat (g),g,12.02,12.02,27450063
"Fiber, total dietary (g)",g,0.24,0.24,27450063
Energy (kcal),kcal,220.5,220.5,27450063
Protein (g),g,15.63,15.63,27450064
Carbohydrate (g),g,2.57,2.57,27450064
Total Fat (g),g,15.34,15.34,27450064
"Fiber, total dietary (g)",g,0.16,0.16,27450064
Energy (kcal),kcal,210.9,210.9,27450064
Protein (g),g,17.59,17.59,27450065
Carbohydrate (g),g,1.52,1.52,27450065
Total Fat (g),g,10.36,10.36,27450065
"Fiber, total dietary (g)",g,0.24,0.24,27450065
Energy (kcal),kcal,169.7,169.7,27450065
Protein (g),g,18.54,18.54,27450066
Carbohydrate (g),g,1.51,1.51,27450066
Total Fat (g),g,10.86,10.86,27450066
"Fiber, total dietary (g)",g,0.26,0.26,27450066
Energy (kcal),kcal,177.9,177.9,27450066
Protein (g),g,21.56,21.56,27450067
Carbohydrate (g),g,1.9,1.9,27450067
Total Fat (g),g,9.6,9.6,27450067
"Fiber, total dietary (g)",g,0.26,0.26,27450067
Energy (kcal),kcal,180.2,180.2,27450067
Protein (g),g,23.85,23.85,27450068
Carbohydrate (g),g,1.74,1.74,27450068
Total Fat (g),g,8.9,8.9,27450068
"Fiber, total dietary (g)",g,0.15,0.15,27450068
Energy (kcal),kcal,182.5,182.5,27450068
Protein (g),g,15.44,15.44,27450070
Carbohydrate (g),g,2.1,2.1,27450070
Total Fat (g),g,15.09,15.09,27450070
"Fiber, total dietary (g)",g,0.2,0.2,27450070
Energy (kcal),kcal,206.0,206.0,27450070
Protein (g),g,24.12,24.12,27450080
Carbohydrate (g),g,1.94,1.94,27450080
Total Fat (g),g,13.5,13.5,27450080
"Fiber, total dietary (g)",g,0.23,0.23,27450080
Energy (kcal),kcal,225.7,225.7,27450080
Protein (g),g,16.09,16.09,27450090
Carbohydrate (g),g,1.83,1.83,27450090
Total Fat (g),g,12.99,12.99,27450090
"Fiber, total dietary (g)",g,0.15,0.15,27450090
Energy (kcal),kcal,188.6,188.6,27450090
Protein (g),g,18.34,18.34,27450100
Carbohydrate (g),g,2.04,2.04,27450100
Total Fat (g),g,15.57,15.57,27450100
"Fiber, total dietary (g)",g,0.2,0.2,27450100
Energy (kcal),kcal,221.6,221.6,27450100
Protein (g),g,23.79,23.79,27450110
Carbohydrate (g),g,1.92,1.92,27450110
Total Fat (g),g,14.13,14.13,27450110
"Fiber, total dietary (g)",g,0.21,0.21,27450110
Energy (kcal),kcal,230.0,230.0,27450110
Protein (g),g,24.64,24.64,27450120
Carbohydrate (g),g,1.89,1.89,27450120
Total Fat (g),g,12.75,12.75,27450120
"Fiber, total dietary (g)",g,0.22,0.22,27450120
Energy (kcal),kcal,220.9,220.9,27450120
Protein (g),g,19.01,19.01,27450130
Carbohydrate (g),g,1.57,1.57,27450130
Total Fat (g),g,9.07,9.07,27450130
"Fiber, total dietary (g)",g,0.14,0.14,27450130
Energy (kcal),kcal,163.9,163.9,27450130
Protein (g),g,24.48,24.48,27450150
Carbohydrate (g),g,1.68,1.68,27450150
Total Fat (g),g,9.92,9.92,27450150
"Fiber, total dietary (g)",g,0.23,0.23,27450150
Energy (kcal),kcal,193.9,193.9,27450150
Protein (g),g,17.84,17.84,27450180
Carbohydrate (g),g,2.01,2.01,27450180
Total Fat (g),g,9.57,9.57,27450180
"Fiber, total dietary (g)",g,0.26,0.26,27450180
Energy (kcal),kcal,165.5,165.5,27450180
Protein (g),g,24.22,24.22,27450190
Carbohydrate (g),g,2.44,2.44,27450190
Total Fat (g),g,11.33,11.33,27450190
"Fiber, total dietary (g)",g,0.23,0.23,27450190
Energy (kcal),kcal,208.6,208.6,27450190
Protein (g),g,15.73,15.73,27450200
Carbohydrate (g),g,1.41,1.41,27450200
Total Fat (g),g,8.54,8.54,27450200
"Fiber, total dietary (g)",g,0.21,0.21,27450200
Energy (kcal),kcal,145.4,145.4,27450200
Protein (g),g,19.46,19.46,27450210
Carbohydrate (g),g,2.02,2.02,27450210
Total Fat (g),g,8.45,8.45,27450210
"Fiber, total dietary (g)",g,0.19,0.19,27450210
Energy (kcal),kcal,162.0,162.0,27450210
Protein (g),g,22.62,22.62,27450250
Carbohydrate (g),g,1.93,1.93,27450250
Total Fat (g),g,13.67,13.67,27450250
"Fiber, total dietary (g)",g,0.17,0.17,27450250
Energy (kcal),kcal,221.2,221.2,27450250
Protein (g),g,23.76,23.76,27450310
Carbohydrate (g),g,2.11,2.11,27450310
Total Fat (g),g,9.92,9.92,27450310
"Fiber, total dietary (g)",g,0.17,0.17,27450310
Energy (kcal),kcal,192.8,192.8,27450310
Protein (g),g,21.54,21.54,27450400
Carbohydrate (g),g,2.4,2.4,27450400
Total Fat (g),g,11.39,11.39,27450400
"Fiber, total dietary (g)",g,0.17,0.17,27450400
Energy (kcal),kcal,198.3,198.3,27450400
Protein (g),g,24.4,24.4,27450405
Carbohydrate (g),g,2.2,2.2,27450405
Total Fat (g),g,11.63,11.63,27450405
"Fiber, total dietary (g)",g,0.2,0.2,27450405
Energy (kcal),kcal,211.1,211.1,27450405
Protein (g),g,16.45,16.45,27450410
Carbohydrate (g),g,2.15,2.15,27450410
Total Fat (g),g,10.98,10.98,27450410
"Fiber, total dietary (g)",g,0.26,0.26,27450410
Energy (kcal),kcal,173.2,173.2,27450410
Protein (g),g,19.76,19.76,27450420
Carbohydrate (g),g,1.98,1.98,27450420
Total Fat (g),g,12.47,12.47,27450420
"Fiber, total dietary (g)",g,0.25,0.25,27450420
Energy (kcal),kcal,199.2,199.2,27450420
Protein (g),g,23.61,23.61,27450430
Carbohydrate (g),g,1.94,1.94,27450430
Total Fat (g),g,13.57,13.57,27450430
"Fiber, total dietary (g)",g,0.21,0.21,27450430
Energy (kcal),kcal,224.3,224.3,27450430
Protein (g),g,19.91,19.91,27450450
Carbohydrate (g),g,1.63,1.63,27450450
Total Fat (g),g,11.74,11.74,27450450
"Fiber, total dietary (g)",g,0.17,0.17,27450450
Energy (kcal),kcal,191.8,191.8,27450450
Protein (g),g,24.98,24.98,27450470
Carbohydrate (g),g,1.8,1.8,27450470
Total Fat (g),g,15.26,15.26,27450470
"Fiber, total dietary (g)",g,0.2,0.2,27450470
Energy (kcal),kcal,244.5,244.5,27450470
Protein (g),g,21.58,21.58,27450510
Carbohydrate (g),g,2.05,2.05,27450510
Total Fat (g),g,9.33,9.33,27450510
"Fiber, total dietary (g)",g,0.19,0.19,27450510
Energy (kcal),kcal,178.5,178.5,27450510
Protein (g),g,15.19,15.19,27450600
Carbohydrate (g),g,2.15,2.15,27450600
Total Fat (g),g,11.62,11.62,27450600
"Fiber, total dietary (g)",g,0.23,0.23,27450600
Energy (kcal),kcal,173.9,173.9,27450600
Protein (g),g,16.65,16.65,27450610
